stimuli	p
ah...hmmmm.... i guess i have to say no... 	5
I think so kind of	55
yes!	98
usually, yes	94
nope	16
yes it can be	68
depends	35
no, not usuallly	6
yes, it could	47
no not really	15
yes i would assume so yes 	84
yes I suppose	78
yes to some extent	83
maybe	93
perhaps	84
no	19
no not necessarily but could be	22
not necessarily	21
usually	39
yes, it is possible	81
yes	100
yes at least possibly	63
could be but not necessarily	21
hmm not exactly... (but again one could) 	45
sometimes	50
certainly	71
yep	63
no	18
mostly	64
generally	59
probably not	24
definitely	100
nope	30
not possibly	24
definitely not	0
not usually	28
it depends	45
possibly not	41
probably	84
possibly but it's doubtful	54
not exactly	38
usually	66
could be both yes and no	50
almost	58
no, not necessarily	35
YES!!!	81
no, not normally	28
I think so	70
it's possible, but generally i guess i'd say no 	35
yes, it is possible	61
yes but not necessarily	55
yes i would assume so yes 	63
YESSSSS!!!!! :):)	91
NO!	9
usually, yes	80
yes definitely	99
no not exactly	26
yea	63
I think so kind of	55
yes to some extent	56
not really	36
yes, I think so	62
not quite	33
in general, no	39
yes it can be	62
no not really	29
generally yes, but not necessarily	60
Uhm not necessarily	31
no, it can be but not necessarily	32
yes, it can be	59
yes, very likely	70
not usually	30
generally	76
in general no	13
I think so	62
probably	18
certainly	86
in general yes	88
certainly not	8
certainly	94
sometimes	54
rarely	6
probably	63
not certainly	7
usually not	24
not definitely	14
mostly	66
probably not	26
usually not	12
not probably	40
nope	43
not usually	26
possibly	50
possibly	56
yep	87
not quite	56
definitely not	3
it depends	50
could be both yes and no	49
usually	69
hmm, I'd say yes in general 	64
not definitely	57
sort of	55
nope	1
yes but not necessarily	71
yes at least possibly	60
not possibly	75
mostly not	33
it's possible, but generally i guess i'd say no 	20
probably	61
yea	52
hmm, I'd say yes in general 	58
ah...hmmmm.... i guess i have to say no... 	42
kind of	55
sometimes	56
mostly not	32
no, not usuallly	31
yes i would assume so yes 	68
yup	52
certainly	74
no not really	31
not certainly	36
definitely	68
eh... yes, you could say so. 	62
sort of	26
could be but not necessarily	54
not usually	36
eh... yes, you could say so. 	57
usually, yes	73
definitely not	91
nope	70
yep	64
no, not usuallly	13
mostly	40
maybe	76
yes	97
yes definitely	100
I think so	63
generally yes, but not necessarily	57
I don't think so	28
usually	45
I think so kind of	52
not really	35
usually not	62
kind of	54
definitely not	64
no, not generally	40
possibly	63
yes!!	100
no, not generally	19
yes, it could	60
not that much	39
yea	84
yes, very likely	82
yes, definitely	100
no not really	18
yes in general	86
yes!!!	100
not that much	57
generally yes, but not necessarily	63
no, not normally	24
no, it can be but not necessarily	35
yes, it is possible	59
yes it can be	68
no, not necessarily	10
yes, it could	67
no	0
perhaps	50
possibly	84
that's a hard one... I guess not really	42
yes to some extent	69
yes, very likely	85
NO!	2
not probably	42
almost	58
certainly	85
yes definitely	91
yes	100
not necessarily	19
rarely	36
usually	64
yes at least possibly	56
probably not	40
YESSSSS!!!!! :):)	100
yep	87
I don't think so	42
certainly not	92
it depends	41
not definitely	68
yes, very likely	90
could be but not necessarily	67
i would say yes	89
no, not normally	79
usually	67
yes!	98
perhaps	63
usually, yes	77
no, not usuallly	73
yes, it could	76
yes, it is possible	66
not really	65
hmm not exactly... (but again one could) 	42
no, not necessarily	65
no it doesn't really relate	82
possibly, yes	73
no, it can be but not necessarily	33
YESSSSS!!!!! :):)	100
almost	64
I think so...	40
yes	99
yup	96
no in general	77
Uhm not necessarily	38
possibly not	29
probably not	34
yes I suppose	68
in general yes	69
yep	94
not usually	23
generally	54
no not necessarily but could be	31
perhaps	54
rarely	54
definitely	85
nope	12
no	96
it depends	54
certainly not	10
possibly	54
no	25
certainly	57
I think so kind of	57
yes, very likely	68
depends	65
I think so	58
not quite	39
YESSSSS!!!!! :):)	86
it can be but not necessarily	54
yes i would assume so yes 	69
nope	98
yes	64
no, not normally	16
in general, no	19
yes, definitely	71
no not really	42
yes but not necessarily	72
yes, in general	96
i would say yes	69
probably	62
no in general	63
in general no	93
possibly but it's doubtful	64
no, not necessarily	22
hmm, I'd say yes in general 	62
not exactly	57
no not really	93
not really	30
mostly not	30
yes!	62
yes, it is possible	76
yes in general	61
nono	25
usually	63
NO!	23
hmm not exactly... (but again one could) 	37
:) not sure, maybe	58
yes, in general	65
not that much	62
yea	64
yes	100
usually not	50
yep	81
definitely not	0
in general no	28
generally	82
nope	11
I think so	76
in general yes	66
not usually	32
rarely	42
certainly not	0
definitely	70
probably	66
sometimes	61
I'm going to say yes	100
yes, I think so	86
perhaps	68
not usually	19
usually, yes	71
probably	54
yes to some extent	76
sometimes	79
yes, that's right	100
not probably	18
maybe	63
no	0
it's possible, but generally i guess i'd say no 	39
yes usually	86
not probably	12
not certainly	21
not definitely	0
yes, very likely	84
probably	72
no in general	27
it depends	48
certainly	88
definitely not	6
in general no	18
no, it can be but not necessarily	34
perhaps	45
nope	1
possibly not	47
yes definitely	100
definitely	93
generally yes, but not necessarily	40
generally	65
it depends	49
certainly not	0
hmm, I'd say yes in general 	67
not definitely	26
in general yes	76
yes but not necessarily	57
I think so	73
no, not usuallly	31
sort of	55
YES!!!	100
in general, no	20
rarely	26
probably not	35
no not really	2
yea	100
sort of	55
yes, that's right	99
could be but not necessarily	37
no, not at all	0
sometimes	50
not quite	22
nope	30
Uhm not necessarily	21
no not necessarily but could be	61
yes, it can be	74
no, not normally	33
yup	100
yes!	100
in general no	37
that's a hard one... I guess not really	40
no, not at all	20
yes, it is possible	59
yes, I think so	74
not usually	36
generally yes, but not necessarily	51
in general, no	19
maybe	50
not quite	25
yes usually	75
probably	72
yes I suppose	77
no not really	33
I don't think so	24
no not exactly	22
nope	50
no, not usuallly	42
yes, definitely	100
yes	82
no not necessarily but could be	48
yes I suppose	71
hmm, I'd say yes in general 	54
I think so	76
depends	51
yes in general	73
it depends	75
possibly but it's doubtful	28
yup	100
in general no	80
YESSSSS!!!!! :):)	97
not exactly	30
not possibly	50
yes, it could	65
I think so...	91
perhaps	56
yes!!	85
not usually	65
yes	100
no, it can be but not necessarily	44
not definitely	50
Uhm not necessarily	31
I don't think so	76
generally	70
yes i would assume so yes 	80
eh... yes, you could say so. 	73
yep	61
yup	100
yes, very likely	94
certainly	50
yes i would assume so yes 	91
certainly not	62
:) not sure, maybe	51
depends	52
not that much	23
not necessarily	38
usually	79
yes usually	68
possibly	56
no not exactly	31
yes!!	99
ah...hmmmm.... i guess i have to say no... 	46
yes it can be	74
I'm going to say yes	69
it can be but not necessarily	51
it can be but not necessarily	57
yes!	100
NO!	0
maybe	50
I think so kind of	50
I think so	66
yes it can be	64
possibly but it's doubtful	25
possibly	78
in general yes	77
yes to some extent	59
yes usually	74
no it doesn't really relate	22
it can be but not necessarily	79
:) not sure, maybe	45
no, not normally	8
usually, yes	78
not really	37
usually	86
I think so...	71
in general, no	75
that's a hard one... I guess not really	64
could be both yes and no	79
yes in general	67
almost	77
nono	64
NO!	50
no, not usuallly	50
eh... yes, you could say so. 	72
hmm not exactly... (but again one could) 	50
yes, it is possible	66
no, not necessarily	75
usually, yes	74
yes, that's right	69
no not really	62
not exactly	69
sort of	77
it depends	43
not possibly	25
sometimes	66
usually	91
not usually	14
nope	1
mostly	90
yes	100
probably not	8
I don't think so	24
I think so	78
definitely	100
certainly	100
not probably	20
not exactly	29
yes!!	100
I think so kind of	64
mostly not	19
could be both yes and no	50
yes but not necessarily	69
yes i would assume so yes 	82
not quite	40
:) not sure, maybe	57
no not necessarily but could be	54
eh... yes, you could say so. 	65
no not exactly	44
no, not normally	30
yes, in general	83
hmm not exactly... (but again one could) 	67
not really	32
generally	73
possibly, yes	70
it can be but not necessarily	62
no, not generally	22
possibly but it's doubtful	61
yes!!!	100
yea	100
probably	75
I think so...	62
generally yes, but not necessarily	58
yes, that's right	100
yes, it can be	75
no, not at all	0
could be but not necessarily	69
possibly	72
yes, it could	83
definitely	99
probably	0
usually not	70
certainly	99
sort of	32
maybe	74
rarely	22
yea	75
yep	100
possibly, yes	68
in general yes	70
perhaps	64
yes, in general	77
kind of	75
I don't think so	69
no, not normally	76
no	66
I think so	66
no, not at all	79
nope	0
it's possible, but generally i guess i'd say no 	68
ah...hmmmm.... i guess i have to say no... 	50
:) not sure, maybe	73
yes to some extent	76
yes!	67
mostly	81
yes	100
not probably	27
probably not	26
not that much	24
yes, it can be	84
yes I suppose	65
yes, it could	94
yes it can be	90
yes i would assume so yes 	68
yes!!!	100
no, not necessarily	0
could be but not necessarily	59
not quite	29
no, not normally	0
yes, it is possible	100
no not exactly	0
generally	52
yup	79
depends	60
no it doesn't really relate	12
possibly but it's doubtful	41
yes, that's right	100
nono	0
no, not usuallly	0
eh... yes, you could say so. 	17
yes!	100
kind of	63
yes!!	98
yes, definitely	100
it can be but not necessarily	48
yes at least possibly	55
yes, very likely	78
not exactly	14
yes to some extent	64
yes but not necessarily	50
almost	50
sort of	71
certainly not	1
perhaps	66
rarely	7
no	1
mostly	85
probably not	7
not usually	13
generally	91
not probably	27
certainly	99
yep	100
definitely	98
nope	0
in general no	5
no in general	20
NO!	1
generally yes, but not necessarily	85
hmm not exactly... (but again one could) 	65
not quite	42
depends	48
it's possible, but generally i guess i'd say no 	42
no it doesn't really relate	14
possibly but it's doubtful	23
I think so	80
mostly not	15
nono	0
yes!!	99
yes in general	83
yes, very likely	95
no, not usuallly	8
yes, I think so	93
could be both yes and no	49
in general, no	10
yes but not necessarily	59
yes usually	84
kind of	61
ah...hmmmm.... i guess i have to say no... 	18
yes!	100
yes	98
I don't think so	20
yes to some extent	74
no, not generally	29
generally	59
YESSSSS!!!!! :):)	98
yep	75
possibly	63
not possibly	29
yes at least possibly	72
definitely not	0
it depends	50
yes	96
usually	60
definitely	100
perhaps	39
sometimes	54
rarely	36
possibly not	25
in general yes	60
certainly not	5
probably not	39
yes, it can be	67
yes, very likely	87
it's possible, but generally i guess i'd say no 	24
almost	53
no in general	17
possibly, yes	61
eh... yes, you could say so. 	29
yes in general	62
nope	25
ah...hmmmm.... i guess i have to say no... 	26
not really	32
I think so	63
i would say yes	63
yes!!	24
hmm, I'd say yes in general 	28
kind of	29
I think so...	70
no, not necessarily	24
NO!	13
Uhm not necessarily	16
generally yes, but not necessarily	63
I think so kind of	55
in general no	37
yes I suppose	67
hmm not exactly... (but again one could) 	27
yea	64
YES!!!	85
could be but not necessarily	39
no, not usuallly	35
maybe	63
yes!	85
not exactly	38
definitely	100
probably not	0
usually not	0
not certainly	100
certainly not	100
no	100
mostly	100
generally	0
definitely not	0
in general no	0
not probably	0
I don't think so	100
nope	0
not usually	0
sort of	0
maybe	100
nono	2
it's possible, but generally i guess i'd say no 	100
yes definitely	0
yes but not necessarily	1
yes!!	100
that's a hard one... I guess not really	0
YESSSSS!!!!! :):)	100
yes it can be	0
no not really	0
no, not usuallly	0
yes, it could	0
yea	0
I think so...	0
not exactly	0
I think so kind of	0
I'm going to say yes	0
no, not generally	0
usually, yes	0
:) not sure, maybe	100
generally yes, but not necessarily	0
no in general	0
no not necessarily at least	0
perhaps	0
yes	100
possibly but it's doubtful	0
yes, very likely	100
depends	0
not necessarily	0
ah...hmmmm.... i guess i have to say no... 	0
yes, it can be	0
no	80
definitely	100
not usually	24
in general no	29
not possibly	6
possibly	78
not probably	44
yep	89
sometimes	63
perhaps	69
certainly not	26
nope	0
possibly not	42
I don't think so	20
it depends	81
sometimes	85
definitely	88
mostly	55
certainly	95
certainly not	4
sort of	49
perhaps	50
possibly not	19
no	5
probably	60
probably not	17
definitely not	1
usually not	18
yes, it is possible	58
yes at least possibly	63
yes, definitely	100
I think so kind of	49
not quite	32
NO!	0
yes, it can be	68
definitely not	34
it's possible, but generally i guess i'd say no 	18
I think so	60
not really	12
possibly but it's doubtful	29
yes!	100
yes, that's right	96
usually	65
nono	16
not quite	32
yup	82
no, not necessarily	16
no, not necessarily	16
no not exactly	16
yes i would assume so yes 	72
no not necessarily at least	13
YESSSSS!!!!! :):)	100
could be both yes and no	51
ah...hmmmm.... i guess i have to say no... 	40
it depends	21
generally yes, but not necessarily	65
not that much	43
mostly	69
no in general	28
not certainly	5
in general, no	29
eh... yes, you could say so. 	62
usually not	14
no not necessarily but could be	43
not probably	3
yes usually	65
almost	57
I think so...	55
definitely not	2
I'm going to say yes	59
no	0
:) not sure, maybe	59
possibly not	19
Uhm not necessarily	17
hmm not exactly... (but again one could) 	38
generally yes, but not necessarily	68
I think so kind of	61
not exactly	23
yes I suppose	69
depends	50
yes	97
possibly but it's doubtful	31
not definitely	2
I don't think so	30
:) not sure, maybe	52
generally	85
that's a hard one... I guess not really	28
no not exactly	37
sometimes	50
no, not generally	42
I think so	85
possibly	52
yup	100
probably	63
yes in general	71
definitely	94
not necessarily	34
usually, yes	83
that's a hard one... I guess not really	5
yes to some extent	61
YES!!!	100
sort of	63
yes in general	85
yes, it can be	59
not exactly	12
yes but not necessarily	66
mostly not	33
no not really	6
I'm going to say yes	68
eh... yes, you could say so. 	67
usually	85
yes, it could	85
possibly, yes	62
almost	72
yes definitely	100
yes, very likely	91
NO!	0
possibly, yes	67
yes I suppose	67
yes, very likely	81
mostly not	35
no in general	12
hmm not exactly... (but again one could) 	44
no not exactly	19
not really	26
yes, it is possible	57
yea	76
I don't think so	21
no, not at all	0
i would say yes	88
could be but not necessarily	53
kind of	52
yes i would assume so yes 	75
YESSSSS!!!!! :):)	100
depends	54
it's possible, but generally i guess i'd say no 	46
yes, it could	70
definitely not	0
yep	99
generally	73
not probably	25
not usually	26
nope	4
definitely	99
probably not	23
not certainly	65
possibly not	45
probably	72
perhaps	58
sort of	66
I think so	72
in general no	26
i would say yes	67
yes i would assume so yes 	70
I'm going to say yes	57
not quite	32
hmm not exactly... (but again one could) 	43
Uhm not necessarily	45
no, not generally	24
certainly not	27
hmm, I'd say yes in general 	66
usually	80
possibly	90
no, it can be but not necessarily	49
kind of	63
yes!!	97
yea	92
no it doesn't really relate	42
ah...hmmmm.... i guess i have to say no... 	34
no in general	27
yes, very likely	78
YESSSSS!!!!! :):)	98
yes but not necessarily	55
yes, I think so	67
yes definitely	98
not really	36
no not necessarily but could be	52
in general, no	24
it can be but not necessarily	53
I think so...	62
it's possible, but generally i guess i'd say no 	38
yes, it is possible	67
eh... yes, you could say so. 	55
yes!!!	97
no, not normally	25
I think so kind of	62
that's a hard one... I guess not really	35
not probably	76
probably not	25
definitely not	28
not usually	26
not definitely	45
definitely	87
in general no	12
certainly not	11
no	7
probably not	35
perhaps	62
not possibly	19
in general yes	85
yep	77
usually not	13
not certainly	24
rarely	12
possibly not	16
it depends	33
certainly	74
possibly not	41
I don't think so	8
yes, it can be	79
usually	71
could be but not necessarily	21
probably	76
usually, yes	91
not probably	9
Uhm not necessarily	14
not certainly	16
depends	50
yep	95
sometimes	50
sort of	61
I think so...	76
yes, that's right	95
yes, in general	89
it's possible, but generally i guess i'd say no 	40
hmm not exactly... (but again one could) 	50
no not necessarily at least	21
eh... yes, you could say so. 	71
not exactly	35
generally yes, but not necessarily	67
no in general	15
usually, yes	80
sort of	79
yes at least possibly	71
yes, I think so	90
not that much	27
yes!!	98
i would say yes	86
sometimes	64
yes to some extent	80
possibly but it's doubtful	54
no, not at all	1
yes, it could	74
yes usually	88
yes at least possibly	68
possibly	64
yes!	99
yes, I think so	71
NO!	1
could be both yes and no	50
YES!!!	100
that's a hard one... I guess not really	33
YESSSSS!!!!! :):)	100
I don't think so	13
yes, in general	89
perhaps	64
it can be but not necessarily	40
no, not usuallly	12
yes usually	87
no in general	16
yes	90
no, it can be but not necessarily	42
no not really	15
:) not sure, maybe	50
yes i would assume so yes 	92
mostly not	16
mostly not	11
i would say yes	95
yes it can be	80
maybe	50
ah...hmmmm.... i guess i have to say no... 	18
certainly	98
Uhm not necessarily	42
not that much	30
nope	1
not certainly	25
maybe	58
no not necessarily but could be	50
certainly not	0
yup	92
not definitely	24
sometimes	71
could be but not necessarily	61
perhaps	64
it's possible, but generally i guess i'd say no 	47
rarely	23
yes, definitely	100
in general yes	86
YES!!!	98
not usually	24
probably	80
usually not	28
sort of	59
I think so	71
I don't think so	14
yes I suppose	76
yes usually	84
I think so kind of	58
yup	89
yes but not necessarily	69
generally yes, but not necessarily	65
yes, I think so	81
yes, that's right	99
maybe	68
ah...hmmmm.... i guess i have to say no... 	26
no not necessarily but could be	40
could be but not necessarily	31
it can be but not necessarily	23
Uhm not necessarily	29
I think so...	62
I'm going to say yes	78
no, not normally	8
not really	7
yes!!	99
not that much	22
yea	99
kind of	67
YESSSSS!!!!! :):)	99
in general, no	21
no, it can be but not necessarily	35
not exactly	26
hmm not exactly... (but again one could) 	31
could be both yes and no	52
not possibly	42
definitely not	27
generally	83
possibly	64
definitely	87
mostly	78
probably	56
perhaps	54
yes	96
sort of	45
in general no	18
possibly not	26
usually	67
not usually	36
not probably	24
generally	88
yep	98
no in general	20
not probably	0
hmm not exactly... (but again one could) 	51
possibly	81
not that much	43
probably	83
not definitely	10
no not necessarily but could be	45
certainly	99
possibly but it's doubtful	29
sort of	88
mostly	95
yes i would assume so yes 	67
rarely	7
not exactly	44
yes but not necessarily	56
not certainly	12
not necessarily	31
definitely not	1
I think so kind of	56
sometimes	73
sometimes	55
usually	82
yes!	89
I think so	87
kind of	52
yup	98
YESSSSS!!!!! :):)	100
I don't think so	15
possibly, yes	93
no not really	30
yes, I think so	97
yes to some extent	76
yea	82
I think so...	79
that's a hard one... I guess not really	15
no, not necessarily	10
no not exactly	36
yes	100
hmm, I'd say yes in general 	60
yes, it could	89
yes in general	74
yes, it is possible	82
mostly not	29
not that much	13
possibly but it's doubtful	45
no, not necessarily	27
no not really	1
nono	42
mostly not	2
no	2
yes, it could	85
no not necessarily but could be	6
no, not at all	12
definitely	99
no, not generally	37
yes, it is possible	67
YESSSSS!!!!! :):)	100
yes definitely	100
yes!	100
yes, definitely	100
it's possible, but generally i guess i'd say no 	40
no not necessarily at least	12
could be both yes and no	50
not really	10
yes I suppose	60
not possibly	0
not usually	20
rarely	30
usually	80
in general yes	89
usually, yes	94
not probably	20
yes but not necessarily	55
not usually	9
usually	72
no, it can be but not necessarily	17
not probably	25
in general yes	89
eh... yes, you could say so. 	96
perhaps	67
generally yes, but not necessarily	92
it depends	50
definitely	99
I think so	69
probably not	11
usually not	13
I think so	94
certainly	98
mostly	79
nope	0
possibly	78
yes	100
sometimes	80
mostly	84
in general no	6
probably not	13
I don't think so	2
generally	77
generally	92
possibly	60
not possibly	34
possibly, yes	87
definitely	100
probably	85
yes, that's right	100
no, not normally	5
Uhm not necessarily	6
no, it can be but not necessarily	6
yes in general	94
I'm going to say yes	95
eh... yes, you could say so. 	100
possibly but it's doubtful	11
yes, it can be	88
yes at least possibly	67
hmm, I'd say yes in general 	86
mostly not	7
NO!	0
i would say yes	87
yes, I think so	88
sort of	62
yes, definitely	100
usually, yes	89
yes I suppose	89
no not necessarily at least	8
yes definitely	100
I think so kind of	66
probably	69
not necessarily	27
perhaps	63
not exactly	36
no, it can be but not necessarily	45
yup	100
in general, no	4
possibly but it's doubtful	45
not quite	4
yes it can be	74
it can be but not necessarily	30
yea	80
depends	50
yes, in general	86
no, not usuallly	9
it's possible, but generally i guess i'd say no 	7
kind of	61
yes, very likely	92
in general, no	8
no, not necessarily	6
maybe	72
yes!!	100
yes!	99
no not really	12
yes, that's right	100
no, not at all	0
could be both yes and no	50
NO!	1
no not exactly	4
yes but not necessarily	59
hmm not exactly... (but again one could) 	44
not quite	39
generally yes, but not necessarily	62
yes!!	100
yes, it is possible	78
could be but not necessarily	45
yes i would assume so yes 	66
it's possible, but generally i guess i'd say no 	29
that's a hard one... I guess not really	31
possibly, yes	68
rarely	68
in general yes	100
certainly	100
yep	100
it depends	43
definitely	100
generally	49
not possibly	60
usually	48
possibly	92
certainly not	35
I don't think so	13
in general no	11
perhaps	56
perhaps	66
definitely not	0
not definitely	42
sort of	52
not certainly	14
in general no	18
not probably	40
yes	100
not definitely	76
sometimes	43
not possibly	43
possibly not	34
probably not	9
probably	88
in general yes	47
it depends	42
yes I suppose	64
sometimes	62
no, not usuallly	10
yes, in general	74
mostly	54
no, it can be but not necessarily	31
no, not normally	10
no, not generally	30
definitely not	44
generally yes, but not necessarily	72
no not necessarily but could be	32
I don't think so	23
possibly, yes	60
probably	59
yes but not necessarily	59
not that much	40
almost	54
not usually	9
nope	12
yes!!!	100
no, not necessarily	32
not necessarily	16
hmm, I'd say yes in general 	71
no	34
yes, I think so	76
no, not at all	0
I'm going to say yes	87
yes!	100
yes to some extent	78
it can be but not necessarily	48
in general, no	7
yes, definitely	100
yes i would assume so yes 	71
hmm not exactly... (but again one could) 	48
I think so	52
yes!!	100
not that much	29
nono	0
no, not usuallly	16
not exactly	31
sort of	60
no it doesn't really relate	22
i would say yes	74
yes but not necessarily	48
yes it can be	72
no, not normally	6
kind of	53
YESSSSS!!!!! :):)	100
yes to some extent	77
usually, yes	78
possibly but it's doubtful	12
in general, no	5
eh... yes, you could say so. 	68
yes!	100
yes definitely	100
Uhm not necessarily	29
could be but not necessarily	52
YES!!!	100
not really	5
i would say yes	94
ah...hmmmm.... i guess i have to say no... 	10
possibly, yes	71
kind of	63
yes	100
I think so kind of	63
yes, it can be	72
no not exactly	14
yes, definitely	100
no it doesn't really relate	0
eh... yes, you could say so. 	90
yes	98
not possibly	0
in general no	4
usually	74
generally	84
definitely	100
probably not	7
certainly not	3
not probably	20
sort of	56
no, not generally	6
it's possible, but generally i guess i'd say no 	37
could be but not necessarily	41
possibly but it's doubtful	28
no, it can be but not necessarily	25
yes, very likely	90
eh... yes, you could say so. 	60
yes, in general	91
not usually	4
maybe	52
yes, that's right	100
possibly	62
Uhm not necessarily	22
yes, it is possible	76
mostly not	8
yes I suppose	68
no in general	6
not exactly	23
perhaps	62
generally yes, but not necessarily	65
yes i would assume so yes 	80
I think so...	80
no, not normally	5
i would say yes	91
yes, it could	79
not that much	8
no, not usuallly	11
no it doesn't really relate	4
yup	100
that's a hard one... I guess not really	32
no	0
yea	88
sort of	65
in general yes	78
usually not	6
I don't think so	18
in general no	3
no	1
perhaps	59
definitely	99
it depends	49
not probably	10
not probably	23
probably	84
in general yes	97
yes	99
not possibly	31
I think so	81
I think so	95
yep	99
in general no	15
not certainly	4
certainly not	0
definitely not	0
not usually	24
rarely	8
not certainly	8
not usually	0
possibly not	5
nope	5
probably	76
perhaps	70
no, it can be but not necessarily	34
it's possible, but generally i guess i'd say no 	29
almost	46
no not necessarily but could be	50
no it doesn't really relate	11
yes, it is possible	65
yes!	99
yes in general	82
yes, I think so	93
not that much	35
no not exactly	32
could be both yes and no	50
not really	10
not really	33
possibly	55
yea	79
could be but not necessarily	38
yes	99
usually, yes	81
I think so...	79
definitely	99
nope	5
I think so kind of	66
kind of	60
usually	81
I'm going to say yes	86
depends	58
yes to some extent	75
maybe	58
no, not normally	24
no, not necessarily	10
eh... yes, you could say so. 	60
yes I suppose	67
no it doesn't really relate	36
yes!!!	99
sort of	59
mostly not	26
no, not generally	8
could be both yes and no	50
Uhm not necessarily	34
yea	66
nono	5
yes i would assume so yes 	86
YESSSSS!!!!! :):)	100
it's possible, but generally i guess i'd say no 	28
hmm not exactly... (but again one could) 	36
YES!!!	98
not that much	20
possibly but it's doubtful	33
in general, no	3
yes, very likely	93
yes it can be	75
ah...hmmmm.... i guess i have to say no... 	21
I'm going to say yes	93
sometimes	63
no not necessarily at least	5
yes, in general	84
yes usually	93
no not necessarily at least	37
no, not necessarily	35
maybe	50
yes!!	99
depends	50
no in general	20
possibly	69
probably	87
yep	100
it depends	50
possibly not	32
not probably	22
generally	73
nope	16
definitely	100
rarely	6
perhaps	58
sometimes	64
not possibly	24
probably not	15
I think so	70
no, not at all	16
I think so kind of	65
yes definitely	97
generally yes, but not necessarily	68
hmm not exactly... (but again one could) 	55
not quite	32
no not exactly	3
that's a hard one... I guess not really	26
ah...hmmmm.... i guess i have to say no... 	8
usually	82
YES!!!	100
kind of	63
no it doesn't really relate	29
not necessarily	21
possibly, yes	64
i would say yes	73
yes, it can be	75
hmm, I'd say yes in general 	72
yes in general	79
mostly not	9
maybe	66
no	0
not really	0
nono	0
no, it can be but not necessarily	38
not exactly	13
no, not necessarily	23
no not really	12
yes i would assume so yes 	100
yes, that's right	100
usually not	22
sort of	60
no	79
not definitely	85
perhaps	73
rarely	24
not usually	79
not possibly	49
generally	31
not probably	60
it depends	82
not certainly	91
usually	91
yes	99
possibly not	77
no, it can be but not necessarily	6
depends	87
yes!	57
eh... yes, you could say so. 	19
not quite	66
NO!	69
I think so kind of	32
no, not usuallly	85
no it doesn't really relate	0
yes to some extent	71
possibly but it's doubtful	83
yes it can be	89
yes i would assume so yes 	100
yes in general	84
no not exactly	29
I don't think so	3
definitely	65
yes!!	79
yes, in general	100
no not really	70
yes but not necessarily	67
yes, I think so	64
it can be but not necessarily	36
possibly, yes	77
yes, it can be	73
yes I suppose	23
yes, definitely	80
nono	0
possibly	78
no, not at all	25
probably	55
sometimes	75
yes definitely	78
I think so...	93
nope	2
I don't think so	30
it depends	50
usually not	35
sometimes	55
possibly	60
not probably	13
certainly not	3
in general no	21
in general yes	85
I think so	78
yes	99
perhaps	59
possibly not	37
not possibly	22
yes I suppose	71
maybe	50
no, not necessarily	21
Uhm not necessarily	20
possibly, yes	66
generally	84
mostly not	15
it can be but not necessarily	50
i would say yes	84
yes!!	100
yes at least possibly	64
no in general	14
I think so...	70
depends	50
not usually	29
kind of	57
:) not sure, maybe	50
I think so kind of	64
yes but not necessarily	62
no not necessarily at least	18
sort of	57
not necessarily	24
yes i would assume so yes 	87
yes!	100
definitely	100
yes usually	87
I'm going to say yes	72
yes to some extent	66
no, not at all	0
almost	57
no not necessarily but could be	37
sort of	62
certainly	98
nope	1
definitely not	1
possibly not	30
mostly	82
I don't think so	23
it depends	72
yes	99
sometimes	47
not definitely	44
it depends	46
perhaps	54
sometimes	46
probably not	34
in general no	8
in general yes	86
usually not	32
definitely	88
I think so	68
I don't think so	37
in general no	12
rarely	55
not certainly	74
rarely	33
no	20
not definitely	29
I think so	60
yes but not necessarily	82
nope	5
yes, definitely	100
possibly not	29
yes usually	90
yes it can be	72
usually, yes	90
yes definitely	87
yes!!!	100
in general, no	7
probably	81
no not necessarily at least	10
hmm, I'd say yes in general 	86
generally	82
no it doesn't really relate	2
depends	46
possibly	72
no, not generally	19
yes!!!	96
yes, in general	84
no	2
yup	90
no in general	18
yes, that's right	94
Uhm not necessarily	17
i would say yes	90
usually	89
in general, no	12
NO!	0
no, not necessarily	32
I think so kind of	62
not usually	26
hmm, I'd say yes in general 	66
yes, it can be	81
eh... yes, you could say so. 	84
yes!!	94
not exactly	33
yes to some extent	92
not necessarily	32
usually, yes	97
no, not necessarily	30
possibly but it's doubtful	43
yes, it can be	73
possibly, yes	76
yes!!	100
not really	40
not that much	32
Uhm not necessarily	35
certainly not	5
nono	0
usually	76
yes i would assume so yes 	89
probably	56
yes, it is possible	91
perhaps	57
yes at least possibly	55
not possibly	34
definitely	99
no in general	11
sort of	55
generally	55
it depends	35
yes	99
definitely not	0
yes, in general	55
not probably	25
definitely	99
in general no	24
sometimes	62
mostly not	8
in general yes	70
probably not	31
yes at least possibly	75
:) not sure, maybe	24
yes, it is possible	67
not that much	23
no, not normally	6
I think so kind of	57
not exactly	9
no not necessarily at least	19
not quite	32
yes!!!	100
no not necessarily but could be	44
ah...hmmmm.... i guess i have to say no... 	39
yes in general	64
no, not generally	32
yes to some extent	59
maybe	50
eh... yes, you could say so. 	58
not necessarily	29
yes, it could	74
I'm going to say yes	63
no not necessarily but could be	32
could be both yes and no	50
I think so...	59
yup	89
yes definitely	96
I think so	61
yes, very likely	75
it can be but not necessarily	50
yes, it is possible	64
yes usually	79
:) not sure, maybe	50
not usually	34
